tx_id,tx_type,strategy,selected_strategy,payload_bytes,cross_border,end_to_end_latency_ms,security_score,running_mean_latency_ms
156,IssueCBDC,adaptive,static_hybrid,305,False,9.077,82.73,109.150
157,Transfer,adaptive,static_hybrid,262,False,9.383,81.05,108.514
158,IssueCBDC,adaptive,static_hybrid,234,False,9.119,81.98,107.885
159,IssueCBDC,adaptive,static_hybrid,363,False,10.435,81.80,107.272
160,Transfer,adaptive,static_hybrid,224,False,8.806,81.66,106.657
161,Transfer,adaptive,static_hybrid,200,False,8.999,82.27,106.050
162,SettleCrossBorder,adaptive,ml_optimized,257,True,135.943,83.04,106.235
163,IssueCBDC,adaptive,static_hybrid,243,False,8.755,81.52,105.637
164,IssueCBDC,adaptive,static_hybrid,306,False,9.730,81.49,105.052
165,Transfer,adaptive,ml_optimized,234,True,167.387,82.12,105.430
166,Transfer,adaptive,static_hybrid,204,False,8.926,81.08,104.849
167,SettleCrossBorder,adaptive,ml_optimized,485,True,251.372,83.49,105.726
168,SettleCrossBorder,adaptive,ml_optimized,427,True,246.501,83.92,106.564
169,IssueCBDC,adaptive,static_hybrid,239,False,9.534,82.09,105.990
170,IssueCBDC,adaptive,static_hybrid,279,False,9.931,81.90,105.425
171,Transfer,adaptive,ml_optimized,218,True,277.230,84.75,106.429
172,Transfer,adaptive,ml_optimized,307,True,195.264,84.83,106.946
173,Transfer,adaptive,ml_optimized,212,True,192.601,82.83,107.441
174,SettleCrossBorder,adaptive,ml_optimized,299,True,252.080,82.42,108.272
175,Transfer,adaptive,ml_optimized,214,True,277.552,83.76,109.240
176,Transfer,adaptive,static_hybrid,212,False,8.520,82.59,108.667
177,Transfer,adaptive,ml_optimized,197,True,212.391,82.99,109.253
178,SettleCrossBorder,adaptive,ml_optimized,336,True,168.117,82.04,109.584
179,IssueCBDC,adaptive,static_hybrid,330,False,9.959,82.68,109.027
180,IssueCBDC,adaptive,static_hybrid,371,False,10.357,81.73,108.479
181,SettleCrossBorder,adaptive,ml_optimized,273,True,184.359,81.59,108.898
182,Transfer,adaptive,static_hybrid,198,False,9.086,81.93,108.350
183,SettleCrossBorder,adaptive,ml_optimized,392,True,272.911,82.40,109.249
184,Transfer,adaptive,static_hybrid,248,False,9.204,82.98,108.706
185,Transfer,adaptive,static_hybrid,173,False,8.992,81.70,108.167
186,Transfer,adaptive,static_hybrid,263,False,9.405,82.78,107.636
187,Transfer,adaptive,ml_optimized,275,True,171.110,81.47,107.975
188,SettleCrossBorder,adaptive,ml_optimized,319,True,306.039,84.02,109.029
189,Transfer,adaptive,ml_optimized,176,True,124.041,84.57,109.108
190,Transfer,adaptive,static_hybrid,224,False,9.576,82.12,108.584
191,Transfer,adaptive,static_hybrid,194,False,9.218,81.23,108.064
192,Transfer,adaptive,static_hybrid,246,False,9.204,81.20,107.549
193,Transfer,adaptive,static_hybrid,286,False,10.098,83.23,107.044
194,Transfer,adaptive,static_hybrid,193,False,8.634,83.22,106.537
195,Transfer,adaptive,ml_optimized,225,True,261.117,80.72,107.330
196,SettleCrossBorder,adaptive,ml_optimized,433,True,208.966,83.98,107.848
197,Transfer,adaptive,static_hybrid,182,False,9.128,83.34,107.347
198,Transfer,adaptive,static_hybrid,303,False,8.954,82.76,106.850
199,Transfer,adaptive,ml_optimized,172,True,274.813,81.67,107.694
200,Transfer,adaptive,ml_optimized,218,True,226.432,84.64,108.288
201,Transfer,adaptive,static_hybrid,248,False,9.102,82.04,107.794
202,Transfer,adaptive,static_hybrid,139,False,8.572,81.69,107.303
203,SettleCrossBorder,adaptive,ml_optimized,474,True,223.295,83.69,107.874
204,SettleCrossBorder,adaptive,ml_optimized,369,True,274.958,83.27,108.694
205,Transfer,adaptive,static_hybrid,156,False,9.055,82.63,108.207
206,Transfer,adaptive,static_hybrid,202,False,9.073,82.14,107.726
207,SettleCrossBorder,adaptive,ml_optimized,349,True,231.538,81.49,108.324
208,SettleCrossBorder,adaptive,ml_optimized,404,True,234.103,82.93,108.929
209,Transfer,adaptive,static_hybrid,184,False,9.217,81.46,108.452
210,Transfer,adaptive,static_hybrid,205,False,8.892,82.75,107.978
211,SettleCrossBorder,adaptive,ml_optimized,389,True,298.191,83.70,108.879
212,SettleCrossBorder,adaptive,ml_optimized,302,True,210.747,81.37,109.360
213,Transfer,adaptive,static_hybrid,247,False,9.604,82.99,108.892
214,SettleCrossBorder,adaptive,ml_optimized,491,True,239.428,83.45,109.502
215,IssueCBDC,adaptive,static_hybrid,295,False,9.560,81.11,109.037
216,SettleCrossBorder,adaptive,ml_optimized,481,True,250.594,84.17,109.692
217,Transfer,adaptive,static_hybrid,167,False,8.865,83.25,109.227
218,Transfer,adaptive,static_hybrid,228,False,9.525,82.85,108.770
219,Transfer,adaptive,static_hybrid,154,False,9.141,81.79,108.315
220,SettleCrossBorder,adaptive,ml_optimized,341,True,291.634,83.09,109.148
221,SettleCrossBorder,adaptive,ml_optimized,241,True,163.427,83.30,109.394
222,Transfer,adaptive,static_hybrid,177,False,9.275,81.83,108.943
223,Transfer,adaptive,static_hybrid,203,False,9.544,83.46,108.497
224,Transfer,adaptive,static_hybrid,244,False,9.451,81.46,108.055
225,Transfer,adaptive,static_hybrid,186,False,8.950,81.87,107.615
226,SettleCrossBorder,adaptive,ml_optimized,386,True,267.196,82.69,108.321
227,SettleCrossBorder,adaptive,ml_optimized,397,True,143.329,83.27,108.475
228,Transfer,adaptive,ml_optimized,331,True,324.186,82.61,109.421
229,Transfer,adaptive,static_hybrid,229,False,9.231,82.53,108.984
230,Transfer,adaptive,static_hybrid,239,False,10.109,82.41,108.554
231,Transfer,adaptive,static_hybrid,202,False,9.423,82.27,108.125
232,SettleCrossBorder,adaptive,ml_optimized,296,True,166.922,82.06,108.378
233,IssueCBDC,adaptive,static_hybrid,267,False,9.370,82.73,107.953
234,Transfer,adaptive,ml_optimized,268,True,250.009,83.18,108.560
235,Transfer,adaptive,static_hybrid,333,False,9.716,82.07,108.139
236,Transfer,adaptive,ml_optimized,175,True,213.575,83.11,108.586
237,Transfer,adaptive,static_hybrid,264,False,9.365,81.95,108.168
238,Transfer,adaptive,ml_optimized,173,True,259.901,85.55,108.805
239,SettleCrossBorder,adaptive,ml_optimized,359,True,265.241,83.79,109.460
240,Transfer,adaptive,ml_optimized,111,True,170.847,83.98,109.715
241,Transfer,adaptive,ml_optimized,156,True,193.857,85.44,110.065
242,Transfer,adaptive,static_hybrid,116,False,9.752,81.77,109.650
243,SettleCrossBorder,adaptive,ml_optimized,446,True,172.837,81.06,109.910
244,Transfer,adaptive,ml_optimized,273,True,297.187,84.70,110.678
245,Transfer,adaptive,static_hybrid,232,False,8.967,82.25,110.262
